query_id,query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,output_rows,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,total_actual_rows,total_actual_loops,total_actual_time_node,rows_estimate_error,rows_estimate_ratio,output_row_estimation_error,output_row_estimation_ratio,cost_time_ratio,sum_node_actual_time_vs_total_actual_time_ratio,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions,actual_execution_time
1,5.906,972783.18,883608.13,1,121,0,8,11,1,1,1,2,2,3,1,0,1,1,1,1,0,0,1,2,1666675.0,31167278.0,133334.0,20.0,5931.144999999999,-1533341.0,0.08,-1,0.0,0.0004233851987449043,14.400806580845035,631,1,1,1,3,2,3,2,411.862
2,0.198,571562.89,256345.61,38,86,38,7,11,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,1,26044712.0,799919670.0,13043384.0,59.0,41821.10599999999,-13001328.0,0.5008073807842451,0,1.0,0.019675929275254384,3.718743617192589,565,1,1,1,2,2,3,1,11246.031
3,1.21,990400.47,990394.95,40,322,0,10,19,1,1,1,2,2,6,3,0,2,2,1,1,0,0,1,3,6416799.0,101760559.0,5133516.0,45.0,12246.328,-1283283.0,0.8000119685843362,-40,0.0,0.0006307721158492584,19.6030010388704,1050,1,1,1,3,5,6,2,624.717
4,0.15,4719474.54,4719465.76,76,94,76,9,13,1,1,1,2,2,3,1,1,0,2,3,1,0,0,1,1,167054766.0,13162678332.0,36197839.0,33.0,248338.894,-130856927.0,0.2166824680715784,0,1.0,0.006384738967147813,8.241531990604333,436,1,1,1,2,2,3,1,30132.613
5,0.87,32501.63,32200.74,14,202,14,12,21,1,1,1,2,2,6,2,0,3,1,1,1,3,0,1,3,7218952359.0,1311001219598.0,14601650.0,157.0,41253.336,-7204350709.0,0.0020226826932575413,0,1.0,0.2245404307414736,5.652744819421398,963,1,1,1,3,5,6,0,7297.93
6,1.677,30574.19,28703.93,87,386,87,12,21,1,1,1,2,2,6,2,0,3,1,1,1,3,0,1,3,2430571734.0,848645289579.0,14125764.0,84.0,21514.53,-2416445970.0,0.005811704218559797,0,1.0,0.1208785907329025,5.821400981934728,1022,1,1,1,4,5,6,1,3695.765
7,0.368,248843.79,247521.97,87,392,87,9,21,1,1,1,2,2,6,1,0,4,1,1,1,4,0,1,2,1092233892.0,361802376236.0,19129756.0,203.0,23837.037,-1073104136.0,0.017514340234371706,0,1.0,0.012958776266829885,7.391991716466996,1087,1,1,1,3,5,6,0,3224.711
8,0.085,25106.9,25106.87,1,295,0,5,8,1,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,346.0,38638.0,0.0,6.0,67.359,-346.0,0.0,-1,0.0,0.0004478450147170698,5.990661686232657,559,1,1,1,2,2,3,2,11.244
9,0.172,310181.14,237169.33,88,156,88,8,18,1,1,1,2,2,5,3,0,1,1,1,1,1,0,1,4,45726364.0,3200363104.0,25523562.0,30.0,25034.062,-20202802.0,0.5581804405003643,0,1.0,0.013011019947892383,6.203040161079427,753,1,1,1,2,4,5,0,4035.773
10,0.16,1071016.05,1071012.79,26,105,0,11,18,1,1,1,2,2,5,4,0,0,2,1,1,0,0,1,4,14508106.0,732473843.0,5000811.0,45.0,11887.312000000002,-9507295.0,0.34469082318532823,-26,0.0,0.00049329979695449,22.499700945617533,640,1,1,1,5,4,5,0,528.332
11,0.222,310926.75,233740.33,93,311,0,10,21,1,1,1,2,2,6,4,0,1,1,1,1,1,0,1,5,33592738.0,2351555265.0,1.0,23.0,12.993,-33592737.0,2.9768338621281777e-08,-93,0.0,8.365314338505773e-06,4.995386389850058,957,1,1,1,4,5,6,1,2.601
12,0.307,244828.05,243780.22,69,245,69,9,21,1,1,1,2,2,6,1,0,4,1,1,1,4,0,1,2,1092455418.0,220660809940.0,19184489.0,161.0,20670.961000000003,-1073270929.0,0.01756088961060011,0,1.0,0.011124534137326177,7.5895785648249126,933,1,1,1,4,5,6,0,2723.598
13,0.107,1133929.77,1050978.15,10,81,10,7,11,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,1,31075632.0,1523624502.0,9005333.0,38.0,21486.731,-22070299.0,0.2897876059286582,0,1.0,0.0026492575461706065,7.15253529209686,496,1,1,1,2,2,3,1,3004.072
14,0.169,38829.92,38650.32,77,129,77,8,15,1,0,1,2,2,4,0,0,3,1,1,1,3,0,1,1,1633318259.0,153711380421.0,2582472.0,45.0,2212.1810000000005,-1630735787.0,0.0015811198985684026,0,1.0,0.009383691751103273,6.071282329952138,626,1,1,1,3,3,4,0,364.368
15,0.211,304121.37,232675.55,86,295,0,10,21,1,1,1,2,2,6,4,0,1,1,1,1,1,0,1,5,29509779.0,1117067621.0,1.0,23.0,13.177000000000001,-29509778.0,3.388707180762011e-08,-86,0.0,1.0022314446367251e-05,4.323162729658793,747,1,1,1,1,5,6,1,3.048
16,0.148,378040.71,349273.32,26,201,0,11,18,1,1,1,2,2,5,3,0,1,1,1,1,1,0,1,4,19184847.0,1364757589.0,333337.0,200021.0,398.90899999999993,-18851510.0,0.017375014770771954,-26,0.0,0.00017350512329743534,6.081671545310403,876,1,1,1,4,4,5,0,65.592
17,0.057,2050.92,2050.89,10,158,10,7,10,1,1,0,0,0,3,2,0,0,1,1,1,0,0,0,2,40860.0,5079780.0,30125.0,10.0,16.704,-10735.0,0.7372736172295644,0,1.0,0.002847014998147173,2.8607638294228463,512,1,1,1,4,2,3,0,5.839
18,0.097,25694.36,25620.81,75,183,0,10,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,3048950.0,528604248.0,1.0,23.0,12.708,-3048949.0,3.279817642139097e-07,-75,0.0,0.00011430524052749318,4.326864147088867,762,1,1,1,2,3,4,2,2.937
19,0.058,315143.14,246559.22,62,101,62,7,12,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,2,39372884.0,1555830430.0,19591003.0,19.0,17763.939000000002,-19781881.0,0.49757602211715046,0,1.0,0.010174608274830289,5.5400504232396,357,1,1,1,2,2,3,0,3206.458
20,0.099,306847.14,241300.29,79,71,79,7,12,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,2,39256227.0,1296773931.0,20143535.0,21.0,23264.989,-19112692.0,0.5131296749430352,0,1.0,0.013952357515862783,5.434169438254002,654,1,1,1,2,2,3,2,4281.241
21,0.089,200747.14,200747.08,25,167,25,7,10,1,1,0,0,0,3,2,0,0,1,1,1,0,0,0,2,12403894.0,2011086122.0,60190514.0,10.0,47582.47699999999,47786620.0,4.852549852489871,0,1.0,0.07308720313524765,3.2430701046691026,444,1,1,1,1,2,3,0,14672.047
22,0.315,266080.68,233710.35,39,242,0,10,21,1,1,1,2,2,6,4,0,1,1,1,1,1,0,1,5,32986449.0,1852762677.0,1.0,23.0,14.640000000000002,-32986448.0,3.0315478941064554e-08,-39,0.0,1.0872642087354857e-05,5.060490839958522,1017,1,1,1,3,5,6,1,2.893
